,actor_id,login,name,email,bio,type,followers,following,tfidf_similarity,counts_of_activity,counts_of_issue,counts_of_pull_request,counts_of_repository,counts_of_commit,counts_of_active_day,periodicity_of_activities,counts_of_connection_account,median_response_time,label
20,74838964,0,0,0,0,0,0,0,0.459043889,62405,39189,0,2,23214,361,0.931181601,103,13059.4303,Bot
21,10616960,0,0,0,0,0,106,20,0.094271714,107655,3,1,13,107634,272,0.929833575,1,13059.4303,Human
22,16950305,0,0,0,0,0,25,10,0.0,25774,20,15,122,25606,313,0.929109918,5,6871.666667,Human
23,1353811,0,0,0,0,0,19,19,0.274862144,8856,117,23,115,8591,361,0.928877011,3,13059.4303,Human
24,66718300,0,0,0,0,0,13,3,0.012961888,4017,99,72,158,3686,247,0.927868656,17,3661.102564,Human
25,1329165,0,0,0,0,0,7,0,0.017831047,11771,44,30,30,11667,329,0.92547529,2,8367.538462,Human
26,74699,0,0,0,0,0,392,14,0.038730035,6919,1380,2084,2315,1119,190,0.924992819,24,31660.77778,Human
27,63096193,0,0,0,0,0,150,29,0.0,4953,36,224,251,4419,258,0.924749113,3,48.76470588,Human
28,19990752,0,0,0,0,0,251,28,0.056557303,5173,25,17,92,5036,348,0.924568693,4,390.0909091,Human
29,69157597,0,0,0,0,0,5,49,0.023997311,8654,55,51,50,8497,122,0.923268569,3,2808.428571,Human
30,38534196,0,0,0,0,0,3,12,0.515877044,8443,345,1,33,8064,178,0.921970562,1,13059.4303,Human
31,35906997,0,0,0,0,0,10,5,0.0,7112,385,4,45,6674,136,0.920455526,2,1639.5,Human
32,64194467,0,0,0,0,0,31,154,0.024885308,18193,28,2,132,18031,263,0.920442076,7,7369.222222,Human
33,56747,0,0,0,0,0,19,5,0.008074401,10400,5,1,23,10370,290,0.919945827,1,241.0,Human
34,3707860,0,0,0,0,0,22,0,0.026350511,4671,29,7,12,4618,125,0.919756746,1,578.1428571,Human
35,4713628,0,0,0,0,0,9,9,0.0,32615,13500,0,27,19088,354,0.919603136,1,13059.4303,Human
36,1783339,0,0,0,0,0,3,2,0.0,5472,2251,0,20,3201,81,0.919585452,1,13059.4303,Human
37,64280,0,0,0,0,0,248,50,0.013353846,50076,468,753,402,48451,350,0.91778035,27,51536.26316,Human
38,9011267,1,0,1,0,0,299,0,0.592872871,155847,2191,4141,142094,7410,361,0.917381387,92,13059.4303,Bot
39,15879987,0,0,0,0,0,90,233,0.011998499,15381,50,147,2073,13108,328,0.917018142,9,8833.294118,Human
40,26539665,0,0,0,0,0,16,17,0.0,51642,12,7,21,51602,206,0.916895903,5,3570.666667,Human
41,44722363,0,0,0,0,0,8,4,0.503102612,9214,3540,3,61,5600,271,0.915496334,3,13059.4303,Bot
42,10598343,0,0,0,0,0,32,0,0.018999031,13979,331,621,148,12872,175,0.913133424,59,8788.908046,Human
43,1884287,0,0,0,0,0,127,16,0.0,50252,53,47,234,49882,224,0.912676819,11,6155.333333,Human
44,4474856,0,0,0,0,0,4,4,0.023020736,3776,27,25,61,3663,303,0.912640065,1,100094.75,Human
45,1307523,0,0,0,0,0,22,44,0.399956011,9949,6468,2,19,3458,347,0.912545907,48,13059.4303,Human
46,30396478,0,0,0,0,0,0,3,0.0,3302,12,27,37,3225,140,0.912254351,3,3009.0,Human
47,9710256,0,0,0,0,0,3,2,0.017430755,3295,29,1,21,3244,102,0.912217571,9,36816.1,Human
48,58626192,0,0,0,0,0,21,22,0.0,75697,28,17,67,75580,88,0.912203145,3,2.25,Human
49,5116346,0,0,0,0,0,0,0,0.062113348,6870,4,4,11,6851,349,0.91188908,2,9.5,Bot
50,142120,0,0,0,0,0,44,95,0.0,17787,24,147,591,17023,314,0.911589692,5,2.0,Human
51,33500389,0,0,0,0,0,16,17,0.0,65907,6,7,48,65834,354,0.9111772,2,4582.0,Human
52,22173232,0,0,0,0,0,131,5,0.05536079,9223,10,3,20,9190,350,0.910441652,1,8073.5,Human
53,229042,0,0,0,0,0,107,51,0.010559689,8427,83,512,134,7698,233,0.909717635,10,10431.27027,Human
54,27874591,0,0,0,0,0,280,164,0.378707916,104780,3,16,107,104651,192,0.908511035,1,13059.4303,Human
55,11522066,0,0,0,0,0,25,9,0.0,6208,11,5,67,6120,304,0.904708343,3,21250.5,Human
56,69484901,0,0,0,0,0,1,3,0.35429836,14002,7617,49,15,6315,208,0.90462713,1,13059.4303,Human
57,31819732,0,0,0,0,0,188,55,0.0243257,23681,7,10,92,23565,279,0.904555238,3,4245.0,Human
58,1405982,0,0,0,0,0,3,1,0.0,167130,30,8,111,166975,84,0.90311633,5,410.3333333,Human
59,524596,0,0,0,0,0,38,4,0.014223331,289563,276,202,262,288772,191,0.903108607,20,15298.06667,Human
60,67270651,0,0,0,0,0,1,0,0.0,20734,219,110,176,20179,189,0.902647193,5,472.3333333,Human
61,53066066,0,0,0,0,0,48,303,0.0,6858,55,16,774,6003,217,0.901876695,4,2769.714286,Human
62,68449029,0,0,0,0,0,89,199,0.0,96399,40,63,295,95971,182,0.901766036,3,709.25,Human
63,458209,0,0,0,0,0,3,5,0.0,77416,52,12,32,77309,127,0.900049802,12,25191.30769,Human
64,69394951,0,0,0,0,0,58,308,0.0,6472,86,13,1991,4377,291,0.899995305,6,10686.23077,Human
65,3455449,0,0,0,0,0,174,31,0.023827237,430136,80,44,266,429746,229,0.89878797,21,49430.75,Human
66,6717350,0,0,0,0,0,3,3,0.01562494,82926,22,8,21,82873,189,0.895401035,2,744.2222222,Human
67,30030348,0,0,0,0,0,35,28,0.019727058,103314,32,3,119,103156,268,0.895093517,5,11201.33333,Human
68,30189103,1,0,0,0,0,20,0,0.602677715,90220,88690,1201,255,74,292,0.894979702,662,50227.75,Bot
69,57559326,0,0,0,0,0,1,0,0.0,4442,72,293,304,3773,323,0.894860354,6,104465.8493,Bot
70,11527185,0,0,0,0,0,0,0,0.503102612,13333,5253,0,5,8074,329,0.894825961,1,13059.4303,Human
71,31839681,1,0,0,0,0,15,61,0.0,36760,104,0,90,36566,240,0.894773334,1,11234.0,Human
72,3629629,0,0,0,0,0,10,6,0.031728721,3756,29,25,89,3597,98,0.894280098,1,1540.142857,Human
73,30238962,0,0,0,0,0,1,14,0.035554166,3720,12,0,21,3686,133,0.892452305,6,321.8333333,Human
74,33126,0,0,0,0,0,63,6,0.024551549,32430,20,34,74,32295,172,0.890480747,9,21367.55556,Human
75,8957346,0,0,0,0,0,514,4,0.01252132,4138,58,43,161,3876,318,0.890163355,7,18203.61111,Human
76,44680817,0,0,0,0,0,59,36,0.036861433,4379,12,21,42,4301,71,0.889000602,1,13059.4303,Human
77,29703080,0,0,0,0,1,0,0,0.701310854,10269,10269,0,0,0,347,0.88859582,104,69080.5,Bot
78,788293,0,0,0,0,0,41,4,0.0,11950,406,1144,559,9816,349,0.88633299,22,27426.02564,Human
79,3221000,0,0,0,0,0,49,0,0.024456087,4241,120,144,92,3880,129,0.885128976,12,12265.21739,Human
80,6303310,0,0,0,0,0,24,23,0.0,10884,67,173,155,10488,217,0.885096031,6,10514.64516,Human
81,25408780,0,0,0,0,0,6,0,0.0,34073,108,13628,13439,6897,181,0.884964987,16,5173.766667,Human
82,42138517,0,0,0,0,0,10,25,0.395570622,6126,2453,76,479,3079,230,0.884938753,10,126.3333333,Human
83,8739360,0,0,0,0,0,33,2,0.033510547,13547,10,11,103,13418,192,0.882207387,18,89.66666667,Human
84,18568381,0,0,0,0,0,15,17,0.095336439,8789,1874,22,85,6805,321,0.880805762,21,174262.3,Human
85,24226219,0,0,0,0,0,1,4,0.036258982,411192,5,17,150,411019,284,0.880563205,1,18070.0,Human
86,11470393,0,0,0,0,0,50,0,0.021725659,5454,87,19,31,5317,242,0.880317765,4,5655.081081,Human
87,67494861,0,0,0,0,0,522,29,0.0,21376,41,3,118,21211,85,0.87957274,2,1204.666667,Human
88,61192422,0,0,0,0,0,1,3,0.0,23935,363,301,173,23023,309,0.879535233,4,56970.5,Human
89,22763678,0,0,0,0,0,331,3,0.0,267218,102,91310,92480,83299,361,0.878835093,86,650.2727273,Human
90,69315643,0,0,0,0,0,2,1,0.0,39166,3,2,8,39153,361,0.877692238,1,21.0,Human
91,13513658,0,0,0,0,0,56,206,0.0,22618,161,16,69,22365,222,0.877347698,3,55477.5,Human
92,36574651,0,0,0,0,0,43,37,0.0,30043,94,75,78,29790,165,0.877202949,6,251.6666667,Human
93,22492406,0,0,0,0,0,43,10,0.205300683,18285,7766,468,183,9833,270,0.876452006,12,119414.9375,Human
94,16730661,0,0,0,0,0,23,40,0.240550311,11276,3583,4,19,7670,360,0.876417536,12,250385.0,Human
95,12201893,0,0,0,0,0,140,43,0.035595829,12031,46,4,40,11941,361,0.87632773,2,12123.0,Human
96,47844,0,0,0,0,0,333,16,0.0,147372,135,16,57,147164,361,0.874753022,7,1133.47619,Human
97,8266075,0,0,0,0,0,11421,429,0.0,9242,106,285,162,8685,233,0.874486511,13,35107.73529,Human
98,12369792,0,0,0,0,0,45,22,0.0,35907,21,3,70,35787,314,0.87424067,1,8737.0,Human
99,65566012,0,0,0,0,0,15,51,0.015033295,406111,44,35,188,405837,213,0.873686569,12,6986.157895,Human
100,6358735,0,0,0,0,0,4462,5,0.016626164,20833,2199,1739,696,15950,331,0.873619886,66,33114.31034,Human
101,58398485,0,0,0,0,0,180,117,0.380594043,37137,6398,7,301,30428,293,0.872517937,2,13059.4303,Human
102,41898282,0,0,0,0,1,0,0,0.031883321,43120984,2503275,1147673,2328124,35804618,361,0.871835702,10669,128510.75,Bot
103,75375782,0,0,0,0,0,210,20,0.0,20603,24,2,69,20508,278,0.871227934,2,188.5833333,Human
104,9460517,0,0,0,0,0,10,6,0.0,20751,11,1,178,20560,298,0.870998482,2,270.5,Human
105,46782860,0,0,0,0,0,14,30,0.0,5368,96,20,153,4920,210,0.870602454,3,526.7272727,Human
106,816994,0,0,0,0,0,1,1,0.352040342,11159,49,0,0,11109,243,0.870101323,1,13059.4303,Human
107,40151425,0,0,0,0,0,31,53,0.259780081,26711,1206,24,105,25365,314,0.869869571,9,114201.0,Human
108,5000654,0,0,0,0,0,289,5,0.033094581,33832,129,649,176,32876,332,0.86794556,5,4662.621622,Human
109,2496211,0,0,0,0,0,296,10,0.0,35019,132,94,87,34700,361,0.867358164,28,5457.728571,Human
110,1938389,0,0,0,0,0,18,33,0.0,5304,30,3,36,5235,308,0.866857892,1,5151.375,Human
111,35181442,0,0,0,0,0,13,38,0.0,6864,317,673,450,5411,263,0.865980266,9,2358.096154,Human
112,1833684,0,0,0,0,0,65,205,0.050976163,4446,65,24,74,4280,355,0.865145865,2,5702.666667,Human
113,304265,0,0,0,0,0,384,88,0.011439282,9973,1078,2136,562,6189,325,0.864037421,44,55329.61765,Human
114,12962539,1,0,0,0,0,9,0,0.84508113,162792,9525,0,145,153122,361,0.860755013,77,52181.25,Bot
115,1852455,0,0,0,0,0,104,22,0.025935888,4535,66,89,96,4269,136,0.858432462,11,18316.4375,Human
116,49069586,0,0,0,0,0,5,0,0.0,11802,10,1,5785,508,253,0.857783863,2,197.5714286,Human
117,12112,0,0,0,0,0,165,0,0.032167767,16097,235,103,76,15681,153,0.857626434,12,10372.30357,Human
118,57515506,0,0,0,0,0,6,5,0.143733516,26444,1255,81,108,24993,250,0.85643745,3,13059.4303,Bot
119,7636440,0,0,0,0,0,25,9,0.016105655,23555,152,73,77,23209,361,0.855691413,3,10742.74074,Human
120,1354510,0,0,0,0,0,2,22,0.028237918,9467,18,29,139,9280,263,0.85414955,6,368.5714286,Human
121,533180,0,0,0,0,0,227,0,0.013191475,279142,59,46,652,278385,361,0.852710279,4,6096.521739,Human
122,70911038,1,0,0,0,0,9,3,0.913810651,366071,6,0,2,366063,297,0.852220767,1,13059.4303,Bot
123,2031472,0,0,0,0,0,116,246,0.01080944,15430,444,371,352,14237,212,0.851564226,19,13338.21311,Human
124,195836,0,0,0,0,0,2248,53,0.0,3534,94,23,136,755,324,0.84693968,5,11433.71429,Human
125,30046214,0,0,0,0,0,38,9,0.035311641,6813,7,73,257,6470,288,0.845548981,2,36597.0,Human
126,20180777,0,0,0,0,0,0,0,0.0,39678,14,81,78,39490,202,0.84521135,3,1412.857143,Human
127,38097062,0,0,0,0,0,20,30,0.0,6680,2084,253,127,4205,360,0.841001993,27,25173.25,Human
128,395821,0,0,1,0,0,67,4,0.010311781,15772,794,740,264,13972,330,0.84050557,47,26557.9,Human
129,922234,0,0,0,0,0,601,132,0.015289134,10435,24,35,88,10288,105,0.83969663,19,3229.0,Human
130,34417826,0,0,0,0,0,14,9,0.0,11444,83,27,116,11200,270,0.83764359,1,13675.73684,Human
131,15963992,0,0,0,0,0,76,0,0.034739687,8434,22,5,4,8402,286,0.8353976,1,3531.777778,Human
132,4200891,0,0,0,0,0,264,344,0.012445036,6907,39,47,247,6557,174,0.833948621,1,4068.818182,Human
133,40209326,0,0,0,0,1,0,0,0.831605621,280386,280368,18,0,0,361,0.832684113,1466,13059.4303,Bot
134,2951285,0,0,0,0,0,781,45,0.0,33903,144,110,87,33496,291,0.832623169,8,33212.56757,Human
135,44401648,0,0,0,0,0,2,2,0.545871425,3652,177,0,23,3452,131,0.831284984,1,13059.4303,Human
136,5726497,0,0,0,0,0,3,2,0.343952484,40392,922,8,18,39442,337,0.831238359,7,13554.5,Human
137,32688539,1,0,0,0,1,0,0,0.0,86797,24,35990,35674,15109,360,0.830906571,108,2758.285714,Bot
138,2853489,1,0,0,0,0,2,1,0.015523843,16424,38,4,4,16378,142,0.829561214,2,16754.22727,Human
139,32685696,0,0,0,0,0,0,0,0.018856985,4990,972,323,70,3551,209,0.828803665,14,10178.325,Human
140,64952483,0,0,0,0,0,5,3,0.046123405,9646,12,8,119,9485,170,0.828695736,2,185.4,Human
141,59560949,0,0,0,0,0,0,0,0.561164217,28560,10900,0,0,17660,360,0.828622972,12,13059.4303,Bot
142,33170633,0,0,0,0,0,0,0,0.0,4052,44,2,169,3837,350,0.827821164,2,22268.8,Human
143,5044195,0,0,0,0,0,20,10,0.026341608,11615,38,1,19,11557,357,0.825917621,2,235.3333333,Human
144,25398100,0,0,0,0,0,32,0,0.262258221,29056,437,0,44,28573,244,0.824844345,1,13059.4303,Human
145,5637090,0,0,0,0,0,31,9,0.014293051,181621,12,4,6023,175579,356,0.824821152,3,12464.75,Human
146,31557639,0,0,0,0,0,11,30,0.0,34879,3,12,55,34806,160,0.82453285,1,13059.4303,Human
147,18329103,0,0,0,0,0,9,1,0.461151887,81477,9207,0,6,72262,360,0.824139593,6,13059.4303,Human
148,42928436,0,0,0,0,1,0,0,0.080531111,120471,120471,0,0,0,217,0.823407341,122,204132.8333,Bot
149,13013670,0,0,0,0,0,0,0,0.007962037,4591,27,26,286,4252,188,0.823026493,6,23819.61111,Human
150,1616850,0,0,0,0,0,747,48,0.0,47434,1352,55,261,45742,361,0.822996974,32,66177.0,Human
151,36971155,0,0,0,0,1,0,0,0.910224067,11492,11492,0,0,0,344,0.822434737,29,13059.4303,Bot
152,33298198,1,1,0,0,0,24,0,0.246477106,15270,15270,0,0,0,359,0.821188574,1,13059.4303,Bot
153,1491826,0,0,0,0,0,6,0,0.003363548,13167,4,11,12,13139,357,0.821173554,1,53.0,Human
154,13621271,0,0,0,0,0,11,15,0.018952655,42417,46,15,55,42294,291,0.820453811,6,2618.263158,Human
155,1741700,0,0,0,0,0,9,3,0.500540738,16872,551,5,73,16140,155,0.820150612,4,13059.4303,Human
156,9599,0,0,0,0,0,4133,136,0.014854866,53968,5472,304,1011,46876,345,0.818905718,49,13059.4303,Human
157,45834289,0,0,0,0,0,36,2,0.515893626,3195,1059,54,67,1988,138,0.818567366,2,13059.4303,Human
158,2168535,0,0,0,0,0,15,0,0.0,37671,7,3,4,37657,360,0.816725142,1,67585.25,Human
159,68645946,0,0,0,0,0,85,61,0.0,16871,187,585,631,15434,224,0.816182524,16,327.4285714,Human
160,1715217,0,0,0,0,0,214,169,0.0,33972,184,165,903,32696,360,0.815065092,4,8452.214286,Human
161,15196250,0,0,0,0,0,59,34,0.0,33408,161,68,383,32731,318,0.813796882,4,22949.25,Human
162,28478594,0,0,0,0,0,91,58,0.0,14840,417,112,360,13894,282,0.812123918,12,916.1764706,Human
163,26902309,0,0,0,0,0,92,0,0.007699579,409302,145,39,119,408992,361,0.809084931,13,2702.716981,Human
164,62712893,0,0,0,0,0,118,0,0.02166674,12362,5,0,47,12302,51,0.80893561,1,4415.0,Human
165,20679825,0,0,0,0,0,282,394,0.0,3418,41,47,489,2841,260,0.80827865,6,4684.096774,Human
166,1373940,0,0,0,0,0,31,13,0.018748171,22352,307,229,73,21737,348,0.807494764,9,9070.972973,Human
167,28275923,0,0,0,0,0,2,2,0.028143389,10796,13,45,61,10470,104,0.806247441,1,2622.8,Human
168,9004309,0,0,0,0,0,1,3,0.10163067,8773,2801,130,132,5709,263,0.806076658,5,13059.4303,Human
169,4945153,0,0,0,0,0,22,8,0.0,53730,1,1,18,53709,348,0.804687412,2,13059.4303,Human
170,77938843,0,0,0,0,0,0,0,0.0,773320,43,0,32,773244,51,0.803762293,1,13059.4303,Bot
171,18272282,0,0,0,0,0,23,7,0.010885489,12585,15,11,34,12520,130,0.803672026,2,2196.0,Human
172,28653235,0,0,0,0,0,58,47,0.0,235185,196,186,1835,232925,301,0.803306293,10,873.4,Human
173,7694,0,0,0,0,0,14,31,0.062005495,4498,4,1,45,4448,66,0.80323124,1,1371.666667,Human
174,47664151,0,0,0,0,0,5,0,0.455635897,10872,613,20,30,10196,104,0.802718799,2,13059.4303,Human
175,1321253,0,0,0,0,0,53,0,0.058968307,13607,10,0,11,13586,358,0.801876498,1,13059.4303,Human
176,1584813,0,0,0,0,0,5,11,0.0,11319,8,7,16,11288,107,0.800931675,2,1224.5,Human
177,8356503,0,0,0,0,0,17,1,0.017285919,40097,5,15947,15937,8208,202,0.800638702,80,872.0,Human
178,10919270,0,0,0,0,0,20,0,0.32341332,51877,12324,0,12,39541,272,0.80017377,1,13059.4303,Human
179,31049082,0,0,0,0,0,74,0,0.030181322,255740,47,54,71,255561,239,0.80007113,6,864.8,Human
180,72732935,0,0,0,0,0,1,2,0.005860463,34695,5,4,16,34670,195,0.799788949,1,36200.0,Human
181,77521350,0,0,0,0,0,5,5,0.0,271110,8,1,38,271060,337,0.799723341,1,13059.4303,Bot
182,20568,0,0,0,0,0,649,96,0.0,20672,849,338,113,19339,361,0.798054342,44,12194.71429,Human
183,7287697,0,0,0,0,0,9,2,0.0,17023,10,40,30,16942,173,0.795347001,5,1129.4,Human
184,7829907,0,0,0,0,0,11,32,0.333981947,49252,22191,1,31,27029,251,0.794309169,4,13059.4303,Human
185,27447280,0,0,0,0,0,69,145,0.0,6135,91,7,55,5970,268,0.793869198,11,8730.647059,Human
186,5102591,0,0,0,0,0,202,31,0.0,40665,367,289,310,39561,361,0.793129714,9,34846.86667,Human
187,7101032,0,0,0,0,0,25,12,0.019964288,3440,16,27,42,3353,195,0.792674901,6,3583.833333,Human
188,31197662,0,0,0,0,1,0,0,0.0,7917,7917,0,0,0,231,0.792467494,93,0.181818182,Bot
189,17795845,0,0,0,0,0,273,119,0.009770798,23588,54,2,298,23226,359,0.791192764,2,8533.888889,Human
190,7276252,0,0,0,0,0,1,2,0.041244674,6999,17,47,28,6907,307,0.789473825,1,15876.0,Human
191,204934,0,0,0,0,0,37,3,0.0,7332,12,0,17,7302,355,0.788299383,1,17.0,Human
192,2982335,0,0,0,0,0,15,19,0.558617753,19950,31,0,7,19912,321,0.7878414,1,13059.4303,Human
193,29104726,0,0,0,0,0,92,60,0.0,3163,15,6,59,3081,165,0.787703362,2,1863.0,Human
194,1240066,0,0,0,0,0,18,15,0.013394698,35546,380,230,82,34853,272,0.786927676,13,37397.93617,Human
195,59575534,0,0,0,0,0,49,34,0.012693389,4142,180,157,505,3299,300,0.785480188,5,2410.833333,Human
196,32535494,0,0,0,0,0,16,24,0.016159987,11982,79,8,69,11819,306,0.78340317,5,5419.62069,Human
197,16578240,0,0,0,0,0,23,3,0.023284381,32687,38,39,94,32513,282,0.782915117,6,16962.5,Human
198,227303,0,0,0,0,0,29,2,0.014569972,4444,68,44,139,4192,150,0.782472961,12,22320.77419,Human
199,65274619,0,0,0,0,0,6,3,0.0,4689,67,38,68,4504,285,0.781473504,2,1479.0,Human
200,22890026,0,0,0,0,0,46,39,0.0,6327,36,4,54,6231,311,0.781396692,5,2821.352941,Human
201,12820919,0,0,0,0,0,7,4,0.0017199,4203,8,7,114,4008,99,0.778995999,3,393.0,Human
202,61057625,0,0,0,0,0,58,0,0.0,6338,57,3,19,6259,320,0.77763059,2,1396.055556,Human
203,914548,0,0,0,0,0,2,0,0.021623793,6471,13,2,3,6453,40,0.777314308,3,10330.0,Human
204,14978021,0,0,0,0,0,136,95,0.0,15176,26,26,112,15010,330,0.777270974,4,2121.666667,Human
205,7190633,0,0,0,0,0,1052,31,0.026462132,34166,141,254,121,33598,361,0.776578998,24,7490.953125,Human
206,6692083,0,0,0,0,0,9,38,0.012902869,22880,51,11,45,22773,78,0.774451746,17,52788.29412,Human
207,34974801,0,0,0,0,0,4,5,0.0,7416,7,3,20,7386,355,0.774325531,2,14801.0,Human
208,9636937,0,0,0,0,0,2,0,0.0,3369,189,1381,1298,496,172,0.774036973,11,14329.0,Human
209,50076933,0,0,0,0,0,13,3,0.0,16388,488,32,105,15714,198,0.773679765,12,1584.59375,Human
210,4502793,0,0,0,0,0,93,0,0.143506082,339269,293549,27755,16295,1670,361,0.773662671,261,48814.66667,Bot
211,48569085,1,0,0,0,1,0,0,0.547840425,116378,53072,20973,21078,21255,310,0.772106423,126,13059.4303,Bot
212,27856297,0,0,0,0,1,0,0,0.383271902,7569808,1223896,2847280,2975069,523563,299,0.771488058,5317,78483.95833,Bot
213,14807290,0,0,0,0,0,1,1,0.028981586,5570,13,3,6,5547,149,0.769975094,1,100.1666667,Human
214,37958125,0,0,0,0,0,0,0,0.0,101646,3,46,16,101581,361,0.76824056,1,13059.4303,Bot
215,56196640,0,0,0,0,0,46,0,0.0,4984,3195,682,161,941,184,0.767820874,11,1608.256757,Human
216,32959649,0,0,0,0,0,3,2,0.014590634,5662,43,32,119,5450,149,0.767601595,10,4695.666667,Human
217,48645689,0,0,0,0,0,23,35,0.0,4224,213,174,269,3540,192,0.767231647,2,6672.904762,Human
218,15682954,0,0,0,0,0,45,40,0.083253652,26213,3,0,74,26126,215,0.767216072,1,195.5,Human
219,2068046,0,0,0,0,0,8,11,0.656972921,24769,13320,10,16,11423,301,0.76710116,1,13059.4303,Human
220,66055060,0,0,0,0,0,3,16,0.0,419880,45,0,89,419743,227,0.766788375,2,43119.33333,Human
221,17517687,0,0,0,0,0,43,19,0.0,3256,13,6,52,3175,78,0.766494332,3,2666.0,Human
222,29433710,0,0,0,0,0,5,0,0.086995123,16732,5,26,16587,111,237,0.766261882,3,1051.0,Human
223,3014232,0,0,0,0,0,28,57,0.0,11735,4,21,29,11681,199,0.766148672,2,125703.0,Human
224,50820503,0,0,0,0,0,14,38,0.0,3399,225,198,175,2774,306,0.765357063,2,594.8,Human
225,950517,0,0,0,0,0,10,3,0.014507411,3857,6,26,53,3772,355,0.764860321,4,234.0,Human
226,58136431,0,0,0,0,0,79,119,0.029927698,20292,57,67,59,20106,321,0.764812058,9,71123.0,Human
227,7917093,0,0,0,0,0,336,3,0.118286514,17694,17694,0,0,0,299,0.763442728,62,1756.290323,Bot
228,39514782,0,0,0,0,1,0,0,0.806103731,1003925,1003925,0,0,0,361,0.763382751,1372,13059.4303,Bot
229,1926119,0,0,0,0,0,144,435,0.221463279,4431,4,2,423,4002,279,0.763018585,1,318339.0,Human
230,43839957,0,0,0,0,0,3,3,0.602974816,5089,1921,3,8,3157,88,0.760863397,20,13059.4303,Human
231,5082246,0,0,0,0,0,51,0,0.023788263,3321,18,66,30,3206,79,0.760361719,4,686.875,Human
232,3014737,0,0,0,0,0,22,25,0.01547962,26268,167,90,212,25762,361,0.759882008,15,36567.56364,Human
233,72623,0,0,0,0,0,86,0,0.0,3293,2,3,20,3267,279,0.757024383,1,43.0,Human
234,12084677,0,0,0,0,0,2,3,0.025976565,177105,26,0,3,177076,86,0.756226832,3,21885.85714,Human
235,1458520,0,0,0,0,0,61,0,0.019417732,6783,1397,0,70,5250,337,0.756012393,9,29600.0,Human
236,30536864,1,0,0,0,0,0,0,0.0,219404,36350,73098,73129,36827,361,0.754713326,231,13059.4303,Bot
237,3861465,0,0,0,0,0,34,23,0.0,5975,12,39,139,5785,236,0.754651164,3,11927.66667,Human
238,17905150,0,0,0,0,0,4,3,0.0,39907,8,0,72,39827,107,0.754480052,1,53651.0,Human
239,1750815,0,0,0,0,0,172,1,0.0267694,121836,4955,58531,57991,354,361,0.753964614,287,3195.452381,Human
240,2474926,0,0,0,0,0,1123,0,0.014505906,6744,513,1258,655,4315,230,0.753943477,15,10998.35135,Human
241,71022656,0,0,0,0,0,17,7,0.0,17052,322,239,492,15713,346,0.753316177,6,25855.54839,Human
242,30538765,1,0,0,0,0,2,0,0.0,219775,36372,73222,73181,37000,361,0.751738782,240,13059.4303,Bot
243,46012524,0,0,0,0,0,76,295,0.0,8477,157,3517,3588,1213,359,0.751045475,48,11188.86486,Human
